Problem:    Caso1_O1_MinMax
Rows:       2141
Columns:    1945 (1872 integer, 0 binary)
Non-zeros:  10441
Status:     INTEGER NON-OPTIMAL
Objective:  Z = 4 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Z                           4                             
   517 res3[7,4,5]                 0                          -0 
   518 res3[7,4,6]                 0                          -0 
   519 res3[7,4,7]                 0                          -0 
   520 res3[7,4,8]                 0                          -0 
   521 res3[7,4,9]                 0                          -0 
   522 res3[7,5,1]                 0                          -0 
   523 res3[7,5,2]                 0                          -0 
   524 res3[7,5,3]                 2                       10000 
   525 res3[7,5,4]                 0                          -0 
   526 res3[7,5,5]                 0                          -0 
   527 res3[7,5,6]                 0                          -0 
   528 res3[7,5,7]                 0                          -0 
   529 res3[7,5,8]                 0                          -0 
   530 res3[7,5,9]                 0                          -0 
   531 res3[7,6,1]                 0                          -0 
   532 res3[7,6,2]                 0                          -0 
   533 res3[7,6,3]                10                       10000 
   534 res3[7,6,4]                 0                          -0 
   535 res3[7,6,5]                 0                          -0 
   536 res3[7,6,6]                 0                          -0 
   537 res3[7,6,7]                 0                          -0 
   538 res3[7,6,8]                 0                          -0 
   539 res3[7,6,9]                 0                          -0 
   540 res3[7,7,1]                 0                          -0 
   541 res3[7,7,2]                 0                          -0 
   542 res3[7,7,3]                 5                       10000 
   543 res3[7,7,4]                 0                          -0 
   544 res3[7,7,5]                 0                          -0 
   545 res3[7,7,6]                 0                          -0 
   546 res3[7,7,7]                 0                          -0 
   547 res3[7,7,8]                 0                          -0 
   548 res3[7,7,9]                 0                          -0 
   549 res3[7,8,1]                 0                          -0 
   550 res3[7,8,2]                 0                          -0 
   551 res3[7,8,3]                 1                       10000 
   552 res3[7,8,4]                 0                          -0 
   553 res3[7,8,5]                 0                          -0 
   554 res3[7,8,6]                 0                          -0 
   555 res3[7,8,7]                 0                          -0 
   556 res3[7,8,8]                 0                          -0 
   557 res3[7,8,9]                 0                          -0 
   558 res3[8,1,1]                 0                          -0 
   559 res3[8,1,2]                 0                          -0 
   560 res3[8,1,3]                 0                          -0 
   561 res3[8,1,4]                 6                       10000 
   562 res3[8,1,5]                 0                          -0 
   563 res3[8,1,6]                 0                          -0 
   564 res3[8,1,7]                 0                          -0 
   565 res3[8,1,8]                 0                          -0 
   566 res3[8,1,9]                 0                          -0 
   567 res3[8,2,1]                 0                          -0 
   568 res3[8,2,2]                 0                          -0 
   569 res3[8,2,3]                 0                          -0 
   570 res3[8,2,4]                 0                       10000 
   571 res3[8,2,5]                 0                          -0 
   572 res3[8,2,6]                 0                          -0 
   573 res3[8,2,7]                 0                          -0 
   574 res3[8,2,8]                 0                          -0 
   575 res3[8,2,9]                 0                          -0 
   576 res3[8,3,1]                 0                          -0 
   577 res3[8,3,2]                 0                          -0 
   578 res3[8,3,3]                 0                          -0 
   579 res3[8,3,4]                 0                       10000 
   580 res3[8,3,5]                 0                          -0 
   581 res3[8,3,6]                 0                          -0 
   582 res3[8,3,7]                 0                          -0 
   583 res3[8,3,8]                 0                          -0 
   584 res3[8,3,9]                 0                          -0 
   585 res3[8,4,1]                 0                          -0 
   586 res3[8,4,2]                 0                          -0 
   587 res3[8,4,3]                 0                          -0 
   588 res3[8,4,4]                 0                       10000 
   589 res3[8,4,5]                 0                          -0 
   590 res3[8,4,6]                 0                          -0 
   591 res3[8,4,7]                 0                          -0 
   592 res3[8,4,8]                 0                          -0 
   593 res3[8,4,9]                 0                          -0 
   594 res3[8,5,1]                 0                          -0 
   595 res3[8,5,2]                 0                          -0 
   596 res3[8,5,3]                 0                          -0 
   597 res3[8,5,4]                 6                       10000 
   598 res3[8,5,5]                 0                          -0 
   599 res3[8,5,6]                 0                          -0 
   600 res3[8,5,7]                 0                          -0 
   601 res3[8,5,8]                 0                          -0 
   602 res3[8,5,9]                 0                          -0 
   603 res3[8,6,1]                 0                          -0 
   604 res3[8,6,2]                 0                          -0 
   605 res3[8,6,3]                 0                          -0 
   606 res3[8,6,4]                 0                       10000 
   607 res3[8,6,5]                 0                          -0 
   608 res3[8,6,6]                 0                          -0 
   609 res3[8,6,7]                 0                          -0 
   610 res3[8,6,8]                 0                          -0 
   611 res3[8,6,9]                 0                          -0 
   612 res3[8,7,1]                 0                          -0 
   613 res3[8,7,2]                 0                          -0 
   614 res3[8,7,3]                 0                          -0 
   615 res3[8,7,4]                 0                       10000 
   616 res3[8,7,5]                 0                          -0 
   617 res3[8,7,6]                 0                          -0 
   618 res3[8,7,7]                 0                          -0 
   619 res3[8,7,8]                 0                          -0 
   620 res3[8,7,9]                 0                          -0 
   621 res3[8,8,1]                 0                          -0 
   622 res3[8,8,2]                 0                          -0 
   623 res3[8,8,3]                 0                          -0 
   624 res3[8,8,4]                 0                       10000 
   625 res3[8,8,5]                 0                          -0 
   626 res3[8,8,6]                 0                          -0 
   627 res3[8,8,7]                 0                          -0 
   628 res3[8,8,8]                 0                          -0 
   629 res3[8,8,9]                 0                          -0 
   630 res3[9,1,1]                 0                          -0 
   631 res3[9,1,2]                 0                          -0 
   632 res3[9,1,3]                 0                          -0 
   633 res3[9,1,4]                 5                       10000 
   634 res3[9,1,5]                 0                          -0 
   635 res3[9,1,6]                 0                          -0 
   636 res3[9,1,7]                 0                          -0 
   637 res3[9,1,8]                 0                          -0 
   638 res3[9,1,9]                 0                          -0 
   639 res3[9,2,1]                 0                          -0 
   640 res3[9,2,2]                 0                          -0 
   641 res3[9,2,3]                 0                          -0 
   642 res3[9,2,4]                 0                       10000 
   643 res3[9,2,5]                 0                          -0 
   644 res3[9,2,6]                 0                          -0 
